userId,characterName,cardCode,cardEffort,recoveryDate
781493924422090752.00000,Paimon,0l501w,376,
,Amber,0v5628,348,
498940089888407616.00000,Tanjirou Kamado,vcddmj,338,
146321803797725184.00000,Nagisa Shiota,2qtsp9,324,
191412938492477440.00000,Dabi,0jklpl,305,
146321803797725184.00000,Albedo,22zrv5,299,
191412938492477440.00000,Sailor Moon,qkls44,295,
191412938492477440.00000,Amane Kanata,h2bn05,294,
191412938492477440.00000,Yu Nishinoya,0xstzk,289,
,Obito Uchiha,80pdk,289,
,Chiaki Nanami,vjcrmc,289,
191412938492477440.00000,Tengen Uzui,0zgg51,285,
371042880078348160.00000,Keqing,v4whbc,285,
,Joseph Joestar,gnr9k,280,
371042880078348160.00000,Inosuke Hashibira,vc8d38,276,
,Joker,q5331m,276,
191412938492477440.00000,Sabito,hq7d7j,275,
,Ningguang,0ms0ss,273,
,Yomemi,q4vd6l,271,
359116399186149376.00000,Archdemon's Shadow,qn6tqd,270,
191412938492477440.00000,Shoyo Hinata,vphb8f,268,
191412938492477440.00000,Chongyun,qn4xr4,263,
,Akeno Himejima,v6sddl,260,
,Emma,01h0hg,258,
,Giyuu Tomioka,qbg0b5,256,
130401447052443648.00000,Usada Pekora,079hsl,251,
,Lucoa,qphp3t,250,
371042880078348160.00000,Panther,q50ww9,248,
452129115575943168.00000,Stephanie Dola,vttc3h,248,
191412938492477440.00000,Hanabi Hyuuga,q6p9j4,248,
,Sagara Hanako,q93zb8,248,
191412938492477440.00000,Tengen Uzui,023l3q,243,
191412938492477440.00000,Jean Kirschtein,hg5gkl,240,
191412938492477440.00000,Sailor Venus,qx73x9,235,
130401447052443648.00000,Inugami Korone,v6msg4,234,
130401447052443648.00000,Mio Naruse,q6535s,234,
191412938492477440.00000,Usagi Tsukino,h3f0rr,230,
191412938492477440.00000,Fumikage Tokoyami,hq58ct,229,
191412938492477440.00000,Kaeya,hrsb2s,226,
,Midari Ikishima,qfn9vv,226,
191412938492477440.00000,Maki Zenin,hk5dq9,225,
452129115575943168.00000,Star Platinum,0pb9vj,223,
321284717427294208.00000,Satomi Kanbara,qs57kx,221,
